"flat";"down";"up"
"一樣";4;2;3
"一隻";3;2;2
"依舊";4;6;8
"依序是";3;2;2
"移除";4;2;2
"已經";4;3;4
"已落";3;2;2
"以來";11;32;35
"以台積";4;2;2
"挹注";3;4;5
"億美元";5;17;18
"億元";25;91;93
"因陸";3;2;2
"因為";6;15;11
"引導";4;2;2
"英特爾";8;4;6
"營收";5;28;35
"營運";3;4;8
"影響";4;24;16
"擁有";3;2;2
"優良";4;2;2
"優於";7;15;17
"由於";3;3;3
"友達";5;8;12
"有別";4;2;2
"預料";4;2;2
"預期";8;13;7
"月光";4;7;8
"樂觀";5;3;3
"樂活";3;2;2
"仔細";4;2;2
"再創";10;6;16
"再度";4;6;2
"再來";4;2;2
"再添";4;2;2
"再注";3;3;2
"在於";4;2;2
"則較";3;2;2
"則再";4;2;2
"增發";3;2;2
"債務";4;5;7
"展開";4;4;7
"展望";3;2;5
"展訊";4;2;2
"展延";3;5;4
"張念";4;2;2
"張忠謀";3;2;10
"漲幅";3;4;5
"召開";5;22;27
"召委羅明";4;2;2
"兆豐";5;6;8
"兆頭";4;3;2
"兆元";9;11;11
"照明";3;2;2
"震盪";5;18;7
"整數";3;2;3
"整體";3;4;2
"證交所";6;2;4
"證券";3;12;16
"證所稅";3;2;2
"之後";5;4;15
"之際";4;3;5
"之間";6;7;4
"之遙";3;2;2
"支撐";5;6;2
"執行長";4;2;8
"指標";4;6;11
"指標股";4;4;2
"指期";14;32;50
"指數";20;49;57
"指紋";4;2;2
"智慧型";3;2;2
"製程";4;5;3
"製造商";4;2;2
"製造業";4;3;3
"中場";7;4;9
"中鋼構";4;3;4
"中國";8;27;31
"中國工商銀行";3;2;2
"中聯";4;5;3
"中砂";3;2;2
"中小";3;2;4
"中小企業";5;4;2
"中央銀行";3;2;3
"重回";4;2;2
"周邊";4;2;4
"周將";4;4;2
"周期";6;2;3
"周轉率";4;2;2
"朱立倫";3;2;2
"主軸";4;4;2
"專攻";3;2;2
"專家";6;7;8
"卓碧華";3;2;2
"資金";9;4;13
"字型";4;2;2
"總裁";3;2;2
"總統";3;2;2
"走勢";4;10;5
"族群";6;8;5
"尊為";3;2;2
"昨天";4;9;10
"作價";5;2;3
"作收";3;15;17
"作帳";4;4;5
"0.02";2;3;2
"0.07";2;3;2
"0.2";2;4;2
"0.5";2;4;2
"0.75";2;3;3
"0.8";2;3;2
"00";2;3;2
"006205";2;4;2
"01";2;4;2
"014";2;3;2
"031-8";2;3;2
"040";2;3;2
"053.2";2;3;2
"059";2;3;2
"06";2;4;2
"060";2;3;2
"075";2;4;2
"083210";2;4;2
"084488";2;4;2
"085.31";2;3;2
"086218";2;4;2
"1.";2;3;6
"1.03";2;3;7
"1.05";2;3;2
"1.1";2;8;9
"1.11";2;3;2
"1.13";2;4;2
"1.15";2;4;2
"1.2";2;4;6
"1.3";2;4;2
"1.39";2;4;2
"1.4";2;11;4
"1.42";2;3;2
"1.43";2;5;2
"1.48";2;3;4
"1.64";2;3;2
"1.65";2;4;2
"1.67";2;4;2
"1.68";2;4;2
"1.7";2;5;2
"1.72";2;4;2
"1.74";2;4;3
"1.77";2;4;2
"1.8";2;5;4
"1.87";2;4;2
"1.92";2;3;3
"1.97";2;4;2
"100.28";2;3;2
"10068";2;4;2
"108";2;4;2
"109";2;3;2
"109.8";2;4;2
"11.5";2;4;2
"110";2;4;2
